hero_id,Hero_Names,Carry_Car,Disabler_Dis,Initiator_Ini,Jungler_Jun,Support_Sup,Durable_Dur,Nuker_Nuk,Pusher_Pus,Escape_Esc,Role_Count,Class
58,Enchantress,NA,Dis,NA,Jun,Sup,Dur,NA,Pus,NA,5,INT
59,Huskar,Car,NA,Ini,NA,NA,Dur,NA,NA,NA,3,STR
60,Night Stalker,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
61,Broodmother,Car,NA,NA,NA,NA,NA,Nuk,Pus,Esc,4,AGI
62,Bounty Hunter,NA,NA,NA,NA,NA,NA,Nuk,NA,Esc,2,AGI
63,Weaver,Car,NA,NA,NA,NA,NA,NA,NA,Esc,2,AGI
64,Jakiro,NA,Dis,NA,NA,Sup,NA,Nuk,Pus,NA,4,INT
65,Batrider,NA,Dis,Ini,Jun,NA,NA,NA,NA,Esc,4,INT
66,Chen,NA,NA,NA,Jun,Sup,NA,NA,Pus,NA,3,INT
67,Spectre,Car,NA,NA,NA,NA,Dur,NA,NA,Esc,3,AGI
68,Ancient Apparition,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
69,Doom,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
70,Ursa,Car,Dis,NA,Jun,NA,Dur,NA,NA,NA,4,AGI
71,Spirit Breaker,Car,Dis,Ini,NA,NA,Dur,NA,NA,Esc,5,STR
72,Gyrocopter,Car,Dis,NA,NA,NA,NA,Nuk,NA,NA,3,AGI
73,Alchemist,Car,Dis,Ini,NA,Sup,Dur,Nuk,NA,NA,6,STR
74,Invoker,Car,Dis,NA,NA,NA,NA,Nuk,Pus,Esc,5,INT
75,Silencer,Car,Dis,Ini,NA,Sup,NA,Nuk,NA,NA,5,INT
76,Outworld Devourer,Car,Dis,NA,NA,NA,NA,Nuk,NA,NA,3,INT
77,Lycan,Car,NA,NA,Jun,NA,Dur,NA,Pus,Esc,5,STR
78,Brewmaster,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
79,Shadow Demon,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,NA,4,INT
80,Lone Druid,Car,NA,NA,Jun,NA,Dur,NA,Pus,NA,4,AGI
81,Chaos Knight,Car,Dis,Ini,NA,NA,Dur,NA,Pus,NA,5,STR
82,Meepo,Car,Dis,Ini,NA,NA,NA,Nuk,Pus,Esc,6,AGI
83,Treant Protector,NA,Dis,Ini,NA,Sup,Dur,NA,NA,Esc,5,STR
84,Ogre Magi,NA,Dis,Ini,NA,Sup,Dur,Nuk,NA,NA,5,INT
85,Undying,NA,Dis,NA,NA,Sup,Dur,Nuk,NA,NA,4,STR
86,Rubick,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
87,Disruptor,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,NA,4,INT
88,Nyx Assassin,NA,Dis,Ini,NA,NA,NA,Nuk,NA,Esc,4,AGI
89,Naga Siren,Car,Dis,Ini,NA,Sup,NA,NA,Pus,Esc,6,AGI
90,Keeper of the Light,NA,Dis,NA,Jun,Sup,NA,Nuk,NA,NA,4,INT
91,Io,NA,NA,NA,NA,Sup,NA,Nuk,NA,Esc,3,STR
92,Visage,NA,Dis,NA,NA,Sup,Dur,Nuk,Pus,NA,5,INT
93,Slark,Car,Dis,NA,NA,NA,NA,Nuk,NA,Esc,3,AGI
94,Medusa,Car,Dis,NA,NA,NA,Dur,NA,NA,NA,3,AGI
95,Troll Warlord,Car,Dis,NA,NA,NA,Dur,NA,Pus,NA,4,AGI
96,Centaur Warrunner,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,Esc,5,STR
97,Magnus,NA,Dis,Ini,NA,NA,NA,Nuk,NA,Esc,4,STR
98,Timbersaw,NA,NA,NA,NA,NA,Dur,Nuk,NA,Esc,3,STR
99,Bristleback,Car,NA,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
100,Tusk,NA,Dis,Ini,NA,NA,NA,Nuk,NA,NA,3,STR
101,Skywrath Mage,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
102,Abaddon,Car,NA,NA,NA,Sup,Dur,NA,NA,NA,3,STR
103,Elder Titan,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
104,Legion Commander,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
105,Techies,NA,Dis,NA,NA,NA,NA,Nuk,NA,NA,2,INT
106,Ember Spirit,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,Esc,6,AGI
107,Earth Spirit,NA,Dis,Ini,NA,NA,NA,Nuk,NA,Esc,4,STR
108,Underlord,NA,Dis,NA,NA,Sup,Dur,Nuk,NA,Esc,5,STR
109,Terrorblade,Car,NA,NA,NA,NA,NA,Nuk,Pus,NA,3,AGI
110,Phoenix,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,Esc,5,STR
111,Oracle,NA,Dis,NA,NA,Sup,NA,Nuk,NA,Esc,4,INT
112,Winter Wyvern,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
113,Arc Warden,Car,NA,NA,NA,NA,NA,Nuk,NA,Esc,3,AGI
